Symbol,Name
ADS.DE,Adidas
AIR.PA,Airbus
ALV.DE,Allianz
BAS.DE,BASF
BAYN.DE,Bayer
BEI.DE,Beiersdorf
BMW.DE,BMW
BNR.DE,Brenntag
CBK.DE,Commerzbank
CON.DE,Continental
DTG.DE,Daimler Truck
DBK.DE,Deutsche Bank
DB1.DE,Deutsche Börse
DHL.DE,Deutsche Post
DTE.DE,Deutsche Telekom
EOAN.DE,E.ON
FRE.DE,Fresenius
FME.DE,Fresenius Medical Care
G1A.DE,GEA Group
HNR1.DE,Hannover Re
HEI.DE,Heidelberg Materials
HEN3.DE,Henkel
IFX.DE,Infineon Technologies
MBG.DE,Mercedes-Benz Group
MRK.DE,Merck
MTX.DE,MTU Aero Engines
MUV2.DE,Munich Re
PAH3.DE,Porsche SE
QIA.DE,Qiagen
RHM.DE,Rheinmetall
RWE.DE,RWE
SAP.DE,SAP
G24.DE,Scout24
SIE.DE,Siemens
ENR.DE,Siemens Energy
SHL.DE,Siemens Healthineers
SY1.DE,Symrise
VOW3.DE,Volkswagen Group
VNA.DE,Vonovia
ZAL.DE,Zalando
